Company,TypeName,Inches,resolution_width,resolution_height,touchscreen,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price,index
Toshiba,Notebook,15.6,1920,1080,0,Intel,"Core i7 6500U",2.5,16,SSD,128,128,Nvidia,"GeForce 930M",Windows,2.4,74752,1
Asus,Ultrabook,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,"Flash Storage",128,128,Nvidia,"GeForce GTX 1050 Ti",Windows,1.8,105654,2
HP,Notebook,13.3,1920,1080,0,Intel,"Core i5 8250U",1.6,4,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.49,35964,3
HP,Notebook,14,1366,768,0,Intel,"Core i5 8250U",1.6,4,SSD,512,512,Intel,"UHD Graphics 620",Windows,1.63,38468,4
HP,Notebook,17.3,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Nvidia,"GeForce 930MX",Windows,2.5,49177,5
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",3.1,8,HDD,500,500,Intel,"Iris Plus Graphics 650",Mac,1.37,108691,6
Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5 6200U",2.3,4,"Flash Storage",256,256,Intel,"HD Graphics 520",Windows,2.1,26267,7
Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.9,16,"Flash Storage",256,256,AMD,"Radeon Pro 560",Mac,1.83,152274,8
Asus,Gaming,15.6,1920,1080,0,AMD,"FX 9830P",3.0,8,SSD,512,512,AMD,"Radeon RX 560",Windows,2.45,37243,9
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.3,8,SSD,256,256,Intel,"Iris Plus Graphics 640",Mac,1.37,71379,10
HP,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,4,HDD,500,500,AMD,"Radeon 520",Windows,1.86,23373,11
Dell,"2 in 1 Convertible",17.3,1920,1080,1,Intel,"Core i5 8250U",1.6,12,HDD,500,500,Nvidia,"GeForce 150MX",Windows,2.77,53227,12
Dell,"2 in 1 Convertible",15.6,1920,1080,1,Intel,"Core i7 8550U",1.8,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,2.08,43636,13
Dell,Notebook,15.6,1366,768,0,Intel,"Core i7 7500U",2.7,12,SSD,256,256,Intel,"HD Graphics 620",Windows,2.3,37992,14
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i3 7100U",2.4,8,SSD,256,256,Nvidia,"GeForce 940MX",N/A,2.2,26587,15
Asus,Gaming,17.3,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,SSD,256,256,Nvidia,"GeForce GTX 980M",Windows,4.3,95851,16
Dell,Ultrabook,13.3,1920,1080,1,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.22,52161,17
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,512,512,AMD,"Radeon 530",Windows,2.02,51730,18
Dell,Notebook,15.6,1366,768,0,Intel,"Core i3 7100U",2.4,8,HDD,1024,1024,Intel,"HD Graphics 620",Windows,2.3,24456,19
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,128,128,Intel,"UHD Graphics 620",Windows,1.21,86793,20
HP,Ultrabook,12.5,3840,2160,1,Intel,"Core M 6Y75",1.2,8,Others,NULL,NULL,Intel,"HD Graphics 515",Windows,0.97,107306,21
Asus,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,Hybrid,128,128,AMD,"Radeon R5 M420",Windows,1.68,24988,22
HP,Notebook,14,1366,768,0,Intel,"Celeron Dual Core N3060",1.6,4,HDD,500,500,Intel,"HD Graphics 400",Windows,1.44,12201,23
Asus,Notebook,17.3,1366,768,0,Intel,"Pentium Quad Core N4200",1.1,4,SSD,256,256,Nvidia,"GeForce 920MX",Windows,2.8,24828,24
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 7500U",2.7,8,SSD,256,256,Nvidia,"GeForce 940MX",Windows,2.23,39534,25
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,HDD,1024,1024,Nvidia,"GeForce GTX 1050",Windows,2.5,53227,26
Lenovo,Notebook,15.6,1366,768,0,Intel,"Celeron Dual Core N3350",1.1,4,"Flash Storage",128,128,Intel,"HD Graphics 500",N/A,2.2,17156,27
Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.8,8,SSD,256,256,Intel,"HD Graphics 6000",Mac,1.34,47896,28
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",2.0,8,Hybrid,256,256,Intel,"Iris Graphics 540",Mac,1.37,75604,29
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,HDD,1024,1024,Intel,"HD Graphics 620",N/A,1.86,30636,30
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,"Flash Storage",64,64,Nvidia,"GeForce GTX 1060",Windows,3.2,93187,31
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,2,"Flash Storage",32,32,Nvidia,"GeForce MX150",Windows,2.2,36710,32
HP,Notebook,14,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,500,500,Intel,"UHD Graphics 620",Windows,1.63,57756,33
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,4,SSD,512,512,Intel,"HD Graphics 520",Windows,2.1,23923,34
Lenovo,"2 in 1 Convertible",13.9,1920,1080,1,Intel,"Core i7 8550U",1.8,8,"Flash Storage",256,256,Intel,"UHD Graphics 620",Windows,1.37,98515,35
Asus,Gaming,17.3,1920,1080,0,AMD,"Ryzen 1700",3.0,8,"Flash Storage",64,64,AMD,"Radeon RX 580",Windows,3.2,69211,36
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,HDD,1024,1024,Nvidia,"GeForce GTX 1050",Windows,2.65,53227,37
HP,Notebook,15.6,1366,768,0,AMD,"E-Series E2-9000e",1.5,4,Hybrid,128,128,AMD,"Radeon R2",N/A,1.86,13746,38
HP,Notebook,13.3,1920,1080,0,Intel,"Core i7 8550U",1.8,16,HDD,1024,1024,Intel,"UHD Graphics 620",Windows,1.49,63776,39
Dell,Workstation,15.6,3840,2160,0,Intel,"Xeon E3-1505M V6",3.0,16,SSD,256,256,Nvidia,"Quadro M1200",Windows,2.8,162770,40
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,4,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.9,29251,41
MSI,Gaming,18.4,1920,1080,0,Intel,"Core i7 6920HQ",2.9,32,Hybrid,256,256,Nvidia,"GTX 980 SLI",Windows,4.4,149131,42
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,1024,1024,Nvidia,"GeForce 940MX",Windows,2.16,60224,43
Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.7,16,SSD,256,256,AMD,"Radeon Pro 455",Mac,1.83,135195,44
Asus,Gaming,17.3,1920,1080,0,Intel,"Core i7 7700HQ",2.8,12,HDD,1024,1024,Nvidia,"GeForce GTX 1050 Ti",Linux,3,50563,45
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,SSD,256,256,Nvidia,"GeForce GTX 1060",Windows,2.65,63670,46
Dell,Notebook,15.6,1366,768,1,Intel,"Core i5 7200U",2.5,8,Others,NULL,NULL,Intel,"HD Graphics 620",Windows,2.36,29697,47
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,256,256,Nvidia,"GeForce MX150",Windows,2.2,44808,48
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,256,256,AMD,"Radeon 530",Linux,2.8,58555,49
Acer,Notebook,17.3,1920,1080,0,Intel,"Core i3 7130U",2.7,4,HDD,1024,1024,Nvidia,"GeForce MX130",Windows,3,37403,50
Apple,Ultrabook,13.3,2560,1600,0,Intel,"Core i5",3.1,8,Others,NULL,NULL,Intel,"Iris Plus Graphics 650",Mac,1.37,96096,51
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,SSD,256,256,AMD,R17M-M1-70,Windows,1.9,43317,52
Dell,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.62,43636,53
HP,Notebook,15.6,1920,1080,0,AMD,"A6-Series 9220",2.5,4,SSD,512,512,AMD,"Radeon R4 Graphics",Windows,1.86,21232,54
Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7 7500U",2.7,8,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.25,55891,55
Acer,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,SSD,256,256,AMD,"Radeon R5",Windows,2.1,21312,56
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,128,128,Nvidia,"GeForce MX130",Windows,2.2,39694,57
Microsoft,Ultrabook,13.5,2256,1504,1,Intel,"Core i5 7200U",2.5,4,SSD,256,256,Intel,"HD Graphics 620",Windows,1.252,58022,58
Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.2,16,Hybrid,256,256,Intel,"Iris Pro Graphics",Mac,2.04,114018,59
HP,"2 in 1 Convertible",13.3,3840,2160,1,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.29,79867,60
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5 8250U",1.6,8,Hybrid,256,256,Intel,"UHD Graphics 620",Windows,1.41,50563,61
HP,Notebook,13.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.49,58768,62
HP,Ultrabook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,256,256,Intel,"HD Graphics 620",Windows,1.91,35112,63
Acer,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.5,45128,64
Asus,Notebook,15.6,1920,1080,0,Intel,"Celeron Dual Core N3350",1.1,4,SSD,256,256,Intel,"HD Graphics 500",Windows,2,18328,65
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,SSD,512,512,Nvidia,"GeForce GTX 1060",N/A,2.4,74485,66
Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i3 6006U",2.0,4,HDD,500,500,Intel,"HD Graphics 520",Windows,2.8,26054,67
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3 7100U",2.4,4,SSD,32,32,Intel,"HD Graphics 620",Windows,2.4,20460,68
Lenovo,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,1024,1024,Nvidia,"GeForce MX150",N/A,2.8,45235,69
Dell,Notebook,14,1920,1080,0,Intel,"Core i5 7300U",2.6,8,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.36,76031,70
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7 8550U",1.8,64,SSD,128,128,AMD,"Radeon 530",Windows,1.4,50882,71
Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.8,8,SSD,256,256,Intel,"HD Graphics 6000",Mac,1.34,61736,72
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 7500U",2.7,8,SSD,256,256,AMD,"Radeon R5 M430",Linux,2.2,31963,73
Asus,Notebook,17.3,1920,1080,0,Intel,"Core i3 6006U",2.0,4,Hybrid,128,128,Nvidia,"GeForce 920MX",Windows,2,30050,74
Dell,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,4,HDD,1024,1024,Intel,"HD Graphics 520",Windows,2.3,22305,75
Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i7 7500U",2.7,6,HDD,1024,1024,Nvidia,"GeForce 940MX",Windows,2.8,45768,76
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,2048,2048,AMD,"Radeon 520",Windows,2.13,40908,77
Dell,Notebook,15.6,1366,768,1,Intel,"Core i3 7100U",2.4,6,Hybrid,128,128,Intel,"HD Graphics 620",Windows,2.3,23390,78
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,4,HDD,1024,1024,AMD,"Radeon R5 M430",Windows,2.3,34046,79
Asus,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,128,128,Nvidia,"GeForce 150MX",Windows,2.1,61006,80
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,AMD,"Radeon R5 M430",Linux,2.2,25841,81
Lenovo,"2 in 1 Convertible",14,1920,1080,1,Intel,"Core i3 7100U",2.4,4,SSD,512,512,Intel,"HD Graphics 620",Windows,1.74,33513,82
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,AMD,"Radeon R5 M430",Linux,2.25,22804,83
Asus,Ultrabook,14,1920,1080,0,Intel,"Core i7 8550U",1.8,16,SSD,128,128,Nvidia,"GeForce MX150",Windows,1.3,79654,84
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,16,HDD,1024,1024,AMD,"Radeon 530",Linux,2.02,55891,85
HP,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,Hybrid,128,128,Intel,"HD Graphics 520",Windows,1.91,23390,86
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3 7100U",2.4,6,SSD,256,256,Nvidia,"GeForce 920M",Windows,2,30743,87
Acer,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,Intel,"HD Graphics 520",Windows,2.1,23816,88
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,128,128,AMD,"Radeon 530",Windows,2.2,46354,89
Asus,Notebook,15.6,1366,768,0,Intel,"Core i5 7200U",2.5,4,SSD,256,256,Intel,"HD Graphics 620",Windows,2,31232,90
Apple,Ultrabook,13.3,1440,900,0,Intel,"Core i5",1.6,8,HDD,1024,1024,Intel,"HD Graphics 6000",Mac,1.35,58555,91
Acer,Ultrabook,14,1920,1080,0,Intel,"Core i5 8250U",1.6,8,HDD,1024,1024,Intel,"UHD Graphics 620",Windows,1.6,41026,92
Asus,"2 in 1 Convertible",13.3,1920,1080,1,Intel,"Core i5 8250U",1.6,8,SSD,512,512,Intel,"HD Graphics 620",Windows,1.1,70063,93
Asus,Notebook,17.3,1920,1080,0,Intel,"Core i7 7500U",2.7,8,SSD,256,256,Nvidia,"GeForce GTX 950M",N/A,2.69,47366,94
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.7,58342,95
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,SSD,256,256,Nvidia,"GeForce GTX 1070",Windows,2.43,130483,96
HP,Notebook,15.6,1366,768,0,AMD,"A6-Series A6-9220",2.5,8,HDD,1024,1024,AMD,"Radeon R4 Graphics",Windows,1.91,23758,97
Lenovo,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.5,44169,98
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.56,66561,99
Dell,"2 in 1 Convertible",15.6,1920,1080,1,Intel,"Core i7 8550U",1.8,8,Hybrid,128,128,Intel,"UHD Graphics 620",Windows,1.56,55891,100
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.23,74539,101
HP,Notebook,15.6,1366,768,0,Intel,"Core i5 7200U",2.5,4,HDD,500,500,Intel,"HD Graphics 620",N/A,1.86,20987,102
Acer,Notebook,14,1366,768,0,Intel,"Core i3 6006U",2.0,8,HDD,1024,1024,Intel,"HD Graphics 520",Windows,2.1,20726,103
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,8,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.62,47899,104
HP,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,Intel,"HD Graphics 520",Windows,1.86,23390,105
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,6,SSD,256,256,Intel,"HD Graphics 620",Windows,2.2,30849,106
Dell,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,8,HDD,1024,1024,AMD,"Radeon 530",Windows,2.2,42624,107
HP,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,Intel,"HD Graphics 520",N/A,1.86,18381,108
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,Hybrid,256,256,Nvidia,"GeForce 940MX",Windows,1.7,59567,109
Lenovo,"2 in 1 Convertible",13.9,3840,2160,1,Intel,"Core i7 8550U",1.8,16,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.4,98515,110
HP,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,16,Hybrid,256,256,Nvidia,"GeForce MX150",Windows,2.9,56424,111
Dell,Gaming,15.6,1920,1080,0,Intel,"Core i5 7300HQ",2.5,8,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.56,46833,112
Dell,Ultrabook,13.3,3840,2160,1,Intel,"Core i7 8550U",1.8,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,1.21,103843,113
Acer,Notebook,15.6,1920,1080,0,Intel,"Core i7 8550U",1.8,8,HDD,500,500,Nvidia,"GeForce MX150",Windows,3,50669,114
Asus,Notebook,15.6,1920,1080,0,Intel,"Core i3 6006U",2.0,4,SSD,256,256,Intel,"HD Graphics 520",Linux,2,22111,115
Asus,Notebook,14,1920,1080,0,Intel,"Core i5 7200U",2.5,8,Others,NULL,NULL,Intel,"HD Graphics 620",Windows,2,50350,116
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i5 7200U",2.5,8,SSD,512,512,Intel,"HD Graphics 620",Windows,2,42251,117
Toshiba,Notebook,15.6,1366,768,0,Intel,"Core i3 6006U",2.2,4,Hybrid,256,256,Intel,"HD Graphics 520",Windows,2.1,23816,118
Acer,Notebook,15.6,1920,1080,1,Intel,"Core i3 7100U",2.4,6,HDD,1024,1024,Intel,"HD Graphics 620",Windows,2.1,25521,119
Asus,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,8,SSD,256,256,Nvidia,"GeForce GTX 1050",Windows,2.2,50563,120
Acer,Notebook,15.6,1920,1080,1,Intel,"Core i7 7500U",2.7,12,HDD,1024,1024,Intel,"HD Graphics 620",Windows,2.15,35112,121
Lenovo,Notebook,17.3,1600,900,0,Intel,"Core i5 7200U",2.5,6,Hybrid,256,256,Nvidia,"GeForce GTX 940MX",Windows,2.8,38308,122
Apple,Ultrabook,15.4,2880,1800,0,Intel,"Core i7",2.8,16,SSD,256,256,AMD,"Radeon Pro 555",Mac,1.83,130002,123
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,SSD,512,512,Intel,"HD Graphics 620",N/A,2.2,27652,124
Xiaomi,Notebook,15.6,1920,1080,0,Intel,"Core i5 8250U",1.6,8,SSD,256,256,Nvidia,"GeForce MX150",N/A,1.95,63883,125
MSI,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,Others,NULL,NULL,Nvidia,"GeForce GTX 1070",Windows,1.8,119427,126
MSI,Gaming,17.3,1920,1080,0,Intel,"Core i7 7700HQ",2.8,16,HDD,1024,1024,Nvidia,"GeForce GTX 1070",Windows,4.14,133147,127
Dell,Notebook,17.3,1920,1080,0,Intel,"Core i7 8550U",1.8,16,SSD,64,64,AMD,"Radeon 530",Windows,2.8,69211,128
HP,Gaming,15.6,1920,1080,0,Intel,"Core i7 7700HQ",2.8,12,Hybrid,256,256,Nvidia,"GeForce GTX 1050",Windows,2.62,66547,129
HP,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,SSD,256,256,Intel,"HD Graphics 620",Windows,1.86,34046,130
Dell,Ultrabook,15.6,1920,1080,0,Intel,"Core i7 8650U",1.9,8,HDD,1024,1024,Intel,"UHD Graphics 620",Windows,1.88,69157,131
Lenovo,"2 in 1 Convertible",13.9,1920,1080,1,Intel,"Core i7 7500U",2.7,8,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.38,57489,132
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i7 7500U",2.7,8,SSD,256,256,Intel,"HD Graphics 630",Windows,1.95,58448,133
Dell,Ultrabook,13.3,1920,1080,0,Intel,"Core i7 8550U",1.8,8,SSD,256,256,Intel,"UHD Graphics 620",Windows,NULL,77203,134
Asus,Notebook,15.6,1366,768,0,AMD,"A9-Series 9420",3.0,4,HDD,1024,1024,AMD,"Radeon R5 M420",Windows,2.03,21472,135
Dell,Notebook,17.3,1920,1080,1,Intel,"Core i7 8550U",1.8,16,SSD,256,256,Nvidia,"GeForce 150MX",Windows,2.77,82531,136
Lenovo,Notebook,15.6,1920,1080,0,Intel,"Core i5 7200U",2.5,8,HDD,1024,1024,Nvidia,"GeForce 940MX",N/A,2.2,33513,137
Lenovo,"2 in 1 Convertible",15.6,1920,1080,1,Intel,"Core i7 7700HQ",2.8,8,Hybrid,128,128,Nvidia,"GeForce GTX 1050M",Windows,2,90523,138
Lenovo,Notebook,15.6,1366,768,0,Intel,"Core i5 7200U",2.5,4,HDD,1024,1024,Intel,"HD Graphics 620",Windows,1.9,26533,139
HP,Notebook,15.6,1920,1080,0,Intel,"Core i7 7500U",2.7,8,SSD,256,256,AMD,"Radeon 530",Windows,1.91,38308,140
